EDS_ID,ISIN,SEDOL,ticker,Ticker,bloomberg_ticker,yahoo_ticker,Name,GICS_subindustry,in_Index,ISIN_code,Europe
976,BMG524401079,6486314,683 HK,683,683 HK,0683.HK,KERRY PPT,60102010,,BM,
1381,LU1250154413,BYNXBZ5,ADJ GR,ADJ,ADJ GR,ADJ.DE,ADLER GROUP SA,60102020,,LU,
1493,CH0008837566,5914270,ALLN SW,ALLN,ALLN SW,ALLN.SW,ALLREAL HOLD-REG,60102010,,CH,
1664,LU1673108939,BF0CK44,AT1 GR,AT1,AT1 GR,AT1.DE,AROUNDTOWN SA,60102020,,LU,
1764,SE0000455057,B0LC9F2,BALDB SS,BALDB,BALDB SS,BALD-B.ST,FASTIGHETS-B SHS,60102020,,SE,
1953,BMG162491077,B96G8X3,BPY-U CN,BPY-U,BPY-U CN,BPY-UN.TO,Brookfield Asset Management,60102020,,BM,
2028,AT0000641352,5681046,CAI AV,CAI,CAI AV,CAI.VI,CA IMMOBILIEN AN,60102020,,AT,
2052,SE0000379190,B0XP0T0,CAST SS,CAST,CAST SS,CAST.ST,CASTELLUM AB,60102020,,SE,
2073,LU1296758029,BZ168H4,CCAP GR,CCAP,CCAP GR,CCAP.DE,Corestate Capital,60102020,,LU,
2351,FI4000369947,BHWV281,CTY1S FH,CTY1S,CTY1S FH,CTY1S.HE,CITYCON OYJ,60102020,,FI,
2426,DE0007480204,4754972,DEQ GR,DEQ,DEQ GR,DEQ.DE,DEUTSCHE EUROSHO,60102020,,DE,
2446,DE000A1X3XX4,BD1NML3,DIC GR,DIC,DIC GR,DIC.DE,DIC ASSET AG,60102010,,DE,
2532,DE000A0HN5C6,B0YZ0Z5,DWNI GR,DWNI,DWNI GR,DWNI.DE,DEUTSCHE WOHNEN,60102020,,DE,
2641,NO0010716418,BRJ2VC4,ENTRA NO,ENTRA,ENTRA NO,ENTRA.OL,ENTRA ASA,60102020,,NO,
2733,SE0011166974,BFM6T36,FABG SS,FABG,FABG SS,FABG.ST,FABEGE AB,60102020,,SE,
2847,GB00BCKFY513,BCKFY51,FOXT LN,FOXT,FOXT LN,FOXT.L,Norwegian Finans,60102040,,GB,
3011,GB00B04V1276,B04V127,GRI LN,GRI,GRI LN,GRI.L,GRAINGER PLC,60102020,,GB,
3048,LU0775917882,B8K9X70,GYC GR,GYC,GYC GR,GYC.DE,GRAND CITY PROPE,60102020,,LU,
3184,SE0000170375,4449137,HUFVA SS,HUFVA,HUFVA SS,HUFV-A.ST,HUFVUDSTADEN -A,60102020,,SE,
3255,AT0000809058,5679911,IIA AV,IIA,IIA AV,IIA.VI,IMMOFINANZ AG,60102020,,AT,
3303,DE000A2NBX80,BFYXP82,INS GR,INS,INS GR,INS.DE,INSTONE REAL EST,60102030,,DE,
3464,SE0000549412,B12W4C0,KLED SS,KLED,KLED SS,KLED.ST,KUNGSLEDEN AB,60102020,,SE,
3466,SE0006593919,BTJR9M9,KLOVB SS,KLOVB,KLOVB SS,KLOV-B.ST,KLOVERN AB-B SHS,60102020,,SE,
3484,FI4000312251,BFYR8L8,KOJAMO FH,KOJAMO,KOJAMO FH,KOJAMO.HE,KOJAMO OYJ,60102020,,FI,
3523,GRS245213004,4248947,LAMDA GA,LAMDA,LAMDA GA,LAMDA.AT,LAMDA DEVELOPMEN,60102010,IE00B48X5099,GR,
3545,DE000LEG1110,B9G6L89,LEG GR,LEG,LEG GR,LEG.DE,LEG IMMOBILIEN A,60102020,,DE,
3804,CH0011108872,B0BV896,MOBN SW,MOBN,MOBN SW,MOBN.SW,MOBIMO HOLDI-REG,60102020,,CH,
4020,IM00BDD7WV31,BDD7WV3,NRP SJ,NRP,NRP SJ,NRP.JO,NEPI ROCKCASTLE,60102020,JSE1027,IM,
4068,FR0010112524,B037JC2,NXI FP,NXI,NXI FP,NXI.PA,NEXITY,60102030,,FR,
4074,SE0011426428,BFD2NK8,NYF SS,NYF,NYF SS,NYF.ST,NYFOSA AB,60102020,,SE,
4199,DE000PAT1AG3,B11Y3K8,PAT GR,PAT,PAT GR,PAT.DE,Athora Real Estate Investments,60102010,,DE,
4378,CH0018294154,B012877,PSPN SW,PSPN,PSPN SW,PSPN.SW,PSP SWISS PR-REG,60102020,,CH,
4640,SE0009554454,BD7Y737,SBBB SS,SBBB,SBBB SS,SBB-B.ST,SAMHALLSBYGGNADS,60102020,,SE,
4745,LU1883301340,BGT2VM7,SHUR BB,SHUR,SHUR BB,SHUR.BR,SHURGARD SELF ST,60101080,,LU,
4819,GB0007291015,729101,SMP LN,SMP,SMP LN,SMP.L,ST MODWEN PROPS,60102030,,GB,
4864,AT0000652250,7390801,SPI AV,SPI,SPI AV,SPI.VI,S IMMO AG,60102020,,AT,
4883,CH0008038389,B083BH4,SPSN SW,SPSN,SPSN SW,SPSN.SW,SWISS PRIME -REG,60102020,,CH,
4899,GG00B1W3VF54,B1W3VF5,SRE LN,SRE,SRE LN,SRE.L,SIRIUS REAL ESTA,60102020,,GG,
4974,GB00B135BJ46,B135BJ4,SVS LN,SVS,SVS LN,SVS.L,SAVILLS PLC,60102040,,GB,
5357,BE0003878957,B29L881,VGP BB,VGP,VGP BB,VGP.BR,VGP,60102020,,BE,
5386,DE000A1ML7J1,BBJPFY1,VNA GR,VNA,VNA GR,PBB.DE,VONOVIA SE,60102020,,DE,
5442,SE0007074844,BXVMBK2,WALLB SS,WALLB,WALLB SS,WALL-B.ST,WALLENSTAM-B SHS,60102020,,SE,
5484,SE0011205194,BFZP1W3,WIHL SS,WIHL,WIHL SS,WIHL.ST,WIHLBORGS FASTIG,60102020,,SE,
